name,state,airportCode,latitude,longitude,snowTotal
Mammoth,CA,,37.630768,-119.032631,0
Breckenridge,CO,,39.482231,-106.046181,0
Keystone Resort,CO,,39.60506,-105.95189,0
Arapahoe Basin,CO,,39.642143,-105.87181,0
Aspen Highlands,CO,,39.18193,-106.8565,0
Aspen Mountain,CO,,39.186676,-106.81816,0
Beaver Creek,CO,,39.0413,-104.99,0
Breckenridge,CO,,39.4817,-106.038,0
Buttermilk,CO,,39.4588,-105.411,0
Copper Mountain,CO,,39.5067,-106.142,0
Crested Butte,CO,,38.8697,-106.988,0
Eldora,CO,,39.9486,-105.564,0
Keystone,CO,,39.5994,-105.987,0
Lee's Hill,CO,,40.0618,-105.284,0
Loveland Basin,CO,,38.06582,-108.53676,0
Monarch Mountain,CO,,39.00027,-105.50083,0
Powderhorn Resort,CO,,39.0704,-108.151,0
Purgatory Resort,CO,,39.00027,-105.50083,0
Silverton Mountain,CO,,39.00027,-105.50083,0
Ski Cooper,CO,,39.3637,-106.287,0
Ski Granby Ranch,CO,,39.00027,-105.50083,0
Snowmass,CO,,39.213,-106.938,0
Steamboat,CO,,40.4848,-106.832,0
Sunlight,CO,,39.5959,-106.009,0
Telluride,CO,,37.9375,-107.812,0
Vail,CO,,39.6426,-106.386,0
Winter Park,CO,,39.8916,-105.763,0
Wolf Creek,CO,,38.9173,-104.766,0
