Resort ,State Code,Latitude,Longitude
Mammoth,CA,37.630768,-119.032631
Breckenridge,CO,39.482231,-106.046181
Keystone Resort,CO,39.60506,-105.95189
Arapahoe Basin,CO,39.642143,-105.87181
Aspen Highlands,CO,39.18193,-106.8565
Aspen Mountain,CO,39.186676,-106.81816
Beaver Creek,CO,39.0413,-104.99
Breckenridge,CO,39.4817,-106.038
Buttermilk,CO,39.4588,-105.411
Copper Mountain,CO,39.5067,-106.142
Crested Butte,CO,38.8697,-106.988
Eldora,CO,39.9486,-105.564
Keystone,CO,39.5994,-105.987
Lee's Hill,CO,40.0618,-105.284
Loveland Basin,CO,38.06582,-108.53676
Monarch Mountain,CO,39.00027,-105.50083
Powderhorn Resort,CO,39.0704,-108.151
Purgatory Resort,CO,39.00027,-105.50083
Silverton Mountain,CO,39.00027,-105.50083
Ski Cooper,CO,39.3637,-106.287
Ski Granby Ranch,CO,39.00027,-105.50083
Snowmass,CO,39.213,-106.938
Steamboat,CO,40.4848,-106.832
Sunlight,CO,39.5959,-106.009
Telluride,CO,37.9375,-107.812
Vail,CO,39.6426,-106.386
Winter Park,CO,39.8916,-105.763
Wolf Creek,CO,38.9173,-104.766
